taxonID,description,type,language
OSRO042MZXSXTSV9RG,South Tropical Africa,native range,en
OSRO042MZXSXTSV9RG,Southern Africa,native range,en
OSRO06HBKE7IICC0Y8,China,native range,en
OSRO06HBKE7IICC0Y8,Eastern Asia,native range,en
OSRO06HBKE7IICC0Y8,Indo-China,native range,en
OSRO06HBKE7IICC0Y8,Russian Far East,native range,en
OSRO0C98CAJZANEOCF,China,native range,en
OSRO0C98CAJZANEOCF,Eastern Asia,native range,en
OSRO0C98CAJZANEOCF,Russian Far East,native range,en
OSRO0HEITDLIV8A4TM,Western Asia,native range,en
OSRO0IEBZPZ7COGV47,Mexico,native range,en
OSRO0QOGDITWVI8455,hybrid,native range,en
OSRO0QVXTESXC0LB0O,Northern Africa,native range,en
OSRO0QVXTESXC0LB0O,Southeastern Europe,native range,en
OSRO0R96ZHV6BE5EVT,Central America,native range,en
OSRO0R96ZHV6BE5EVT,Mexico,native range,en
OSRO0ZZO54RBZHH1OM,Eastern Canada,native range,en
OSRO0ZZO54RBZHH1OM,North-Central U.S.A.,native range,en
OSRO0ZZO54RBZHH1OM,Northeastern U.S.A.,native range,en
OSRO0ZZO54RBZHH1OM,Southeastern U.S.A.,native range,en
OSRO0ZZO54RBZHH1OM,Western Canada,native range,en
OSRO16JA99ZZHD9Z8C,Brazil,native range,en
OSRO16JA99ZZHD9Z8C,Caribbean,native range,en
OSRO16JA99ZZHD9Z8C,Central America,native range,en
OSRO16JA99ZZHD9Z8C,Eastern Canada,native range,en
OSRO16JA99ZZHD9Z8C,Mexico,native range,en
OSRO16JA99ZZHD9Z8C,North-Central U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,Northeastern U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,Northern South America,native range,en
OSRO16JA99ZZHD9Z8C,Northwestern U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,South-Central U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,Southeastern U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,Southwestern U.S.A.,native range,en
OSRO16JA99ZZHD9Z8C,Western Canada,native range,en
OSRO16JA99ZZHD9Z8C,Western South America,native range,en
OSRO16TT85BD3JSWDY,Mexico,native range,en
OSRO16TT85BD3JSWDY,Northwestern U.S.A.,native range,en
OSRO16TT85BD3JSWDY,South-Central U.S.A.,native range,en
OSRO16TT85BD3JSWDY,Southwestern U.S.A.,native range,en
OSRO16TT85BD3JSWDY,Subarctic America,native range,en
OSRO16TT85BD3JSWDY,Western Canada,native range,en
OSRO179BY8PHSNN8QN,Eastern Canada,native range,en
OSRO179BY8PHSNN8QN,North-Central U.S.A.,native range,en
OSRO179BY8PHSNN8QN,Northeastern U.S.A.,native range,en
OSRO179BY8PHSNN8QN,Southeastern U.S.A.,native range,en
OSRO19WADEXPSP4CH6,Caucasus,native range,en
OSRO19WADEXPSP4CH6,Central Asia,native range,en
OSRO19WADEXPSP4CH6,Eastern Europe,native range,en
OSRO19WADEXPSP4CH6,Macaronesia,native range,en
OSRO19WADEXPSP4CH6,Northern Africa,native range,en
OSRO19WADEXPSP4CH6,Southeastern Europe,native range,en
OSRO19WADEXPSP4CH6,Southwestern Europe,native range,en
OSRO19WADEXPSP4CH6,Western Asia,native range,en
OSRO1HKBE5V1TRSI5J,Middle Europe,native range,en
OSRO1HKBE5V1TRSI5J,Southeastern Europe,native range,en
OSRO1HKBE5V1TRSI5J,Southwestern Europe,native range,en
OSRO1L1CBAAQC8NB4F,North-Central U.S.A.,native range,en
OSRO1L1CBAAQC8NB4F,Northeastern U.S.A.,native range,en
OSRO1L1CBAAQC8NB4F,Southeastern U.S.A.,native range,en
OSRO1RQQOU7R8UW4JR,Mexico,native range,en
OSRO1RQQOU7R8UW4JR,North-Central U.S.A.,native range,en
OSRO1RQQOU7R8UW4JR,Northwestern U.S.A.,native range,en
