taxon_id,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,remarks,native range,terrestrial,marine,freshwater,host,date added,added by,verified by
OSROWHMIQS4O4TX69Y,Brassica napus L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,species,ICN,Romania,RO,present,introduced,casual,agriculture,,,1778,2020,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539",,Southwestern Europe,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Daniyar Memedemin
OSROUCKL194QQ2M5S7TZCX,Acorus calamus L.,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,species,ICN,Romania,RO,present,introduced,established,OtherEscape,,,1780,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Pop E (1930) Contributii la istoria botanicei romanesti. Bul. Grad. Bot. Muz. Bot. Cluj, 1-4: 185-196",,Central Asia,TRUE,FALSE,TRUE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Paulina Anastasiu | Culita Sirbu
OSRO5E568JW8S4TOMS,Symphyotrichum × salignum (Willd.) G.L.Nesom,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum,species,ICN,Romania,RO,present,introduced,established,ornamentalNonHorticulture,escapeFromConfinement,,1780,2023,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Camen-Comanescu P, Sirbu I-M, Urziceanu M (2024) Urban flora: new reports for Bucharest's flora. Acta Horti Botanici Bucurestiensis 50(1): 41-58. https://doi.org/10.62229/ahbb.2024.50/3 | Sirbu C, Oprea A (2011) Plante adventive in flora Romaniei. Editura Ion Ionescu de la Brad, Iasi | Schur JF (1866) Enumeratio Plantarum Transsilvaniae. Vindobonae | Blackburn TM, Pysek P, Bacher S, Carlton JT, Duncan RP, Jarosik V, Wilson JRU, Richardson DM (2011) A proposed unified framework for biological invasions. Trends in Ecology and Evolution 26: 333–339. https://doi.org/10.1016/j.tree.2011.03.023 | Plants of the World Online (2026) https://powo.science.kew.org/",,North-Central U.S.A.,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Mihaela Urziceanu | Lucian Patrascu
OSRO4TLT6QHZTANYXG,Robinia pseudoacacia L.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,species,ICN,Romania,RO,present,introduced,invasive,erosionControl,OtherIntentionalRelease,forestry,1780,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539",,Northeastern U.S.A. | Southeastern U.S.A.,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Culita Sirbu
OSRO54WUAB7ND81249,Tanacetum parthenium (L.) Sch.Bip.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,species,ICN,Romania,RO,present,introduced,casual,naturalDispersal,,,1790,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539",,Caucasus | Eastern Europe | Indian Subcontinent | Southeastern Europe | Western Asia,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Daniyar Memedemin
OSROIWZYGJ1UNQW0PP,Dysphania ambrosioides (L.) Mosyakin & Clemants,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Dysphania,species,ICN,Romania,RO,present,introduced,invasive,seedContaminant,,,1791,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539",,Brazil | Caribbean | Central America | Mexico | North-Central U.S.A. | Northern South America | South-Central U.S.A. | Southeastern U.S.A. | Southern South America | Subantarctic Islands | Western South America,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Daniyar Memedemin
OSROUCKLSHLFWT23740FEU,Amaranthus viridis L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,species,ICN,Romania,RO,present,introduced,established,seedContaminant,,,1794,2021,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Anastasiu P, Sarbu I, Negrean G (2009) Verbesina encelioides-A new alien plant in Romania. Annals of the University of Craiova-Agriculture, Montanology, Cadastre Series, 39(2), 15-18",,Brazil | Caribbean | Central America | Mexico | Northern South America | Southern South America | Western South America,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Daniyar Memedemin
OSROUCKLGUF4VX8641W62V,"Rattus rattus (Linnaeus, 1758)",Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,species,ICZN,Romania,RO,present,introduced,established,transportStowaway,naturalDispersal,,1802,1995,"Cogalniceanu D, Cobzaru I, Dragan O, Fanaru G, Iftime A, Stanescu F, Telea E, Topliceanu S, Ureche D, Chisamera G, Petrescu A, Iftime O (2021) Raport tehnic privind sursele bibliografice referitoare la speciile de vertebrate terestre alogene invazive si potential invazive. Zenodo. https://doi.org/10.5281/zenodo.5593956 | Leonard J (1802) Systematica Mammalium ac Avium Transsylvanicarum enumeratio pro loco. Ioannis Barth, Cibini. | Muntiu N, Vasiliu GD (1933) Nouvelles contributions a l'etude des rats de Roumanie. Notationes Biologicea, 1(2), 78-85. | Sandor DA, Kiss JB (2004) The diet of wintering Long-eared Owls (Asio otus) in Tulcea, Romania. Analele stiintifice ale Institutului Delta Dunarii 10:49-54.",,Southern Asia,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Gabriel Chisamera
OSROF9GPLEQDUB824B,Hemerocallis fulva (L.) L.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Hemerocallis,species,ICN,Romania,RO,present,introduced,casual,ornamentalNonHorticulture,,,1816,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Baumgarten JChG (1816) Enumeratio Stirpium Magno Transsilvaniae Principatui, I-III, Vindobonae",,China | Eastern Asia,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Paulina Anastasiu
OSROIWVYOAVR5DH8J1,Hemerocallis lilioasphodelus L.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Hemerocallis,species,ICN,Romania,RO,present,introduced,casual,ornamentalNonHorticulture,,,1816,2022,"Anastasiu P, Miu I, Gavrilidis A, Preda C, Rozylowicz L, Sirbu C, Oprea A, Urziceanu M, Camen-Comanescu P, Nagoda E, Memedemin D, Barbos M, Boruz V, Cislariu A, Don I, Fagaras M, Frink J, Georgescu I, Haruta O, Hurdu B-I, Matis A, Milanovici S, Muncaciu S, Neacsu A, Neblea M, Nicolin A, Niculescu M, Oroian S, Pop O, Radutoiu D, Samarghitan M, Simion I, Soare L, Steiu C, Stoianov E, Strat D, Szabo A, Szatmari P, Tanase C, Mirea M, Manta N, Sirbu I (2024) Alien plant species distribution in Romania: a nationwide survey following the implementation of the EU Regulation on Invasive Alien Species. Biodiversity Data Journal 12. https://doi.org/10.3897/BDJ.12.e119539 | Baumgarten JChG (1816) Enumeratio Stirpium Magno Transsilvaniae Principatui, I-III, Vindobonae",,Central Asia | China | Eastern Asia | Mongolia | Russian Far East | Siberia | Southeastern Europe,TRUE,FALSE,FALSE,,2025-11-26,Cristina Preda | Laurentiu Rozylowicz,Paulina Anastasiu
